county,projectedTotalVotes,baselineDemVotes,baselineDemShare,targetVotes,targetShare,targetVoteGain,countyCapacityScore,confidence,dashboardLabel,registrationGoal,missingData
Conway,32468,15062,0.4639,18144,0.5588,3082,0.6120,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Craighead,33065,16461,0.4978,19470,0.5888,3009,0.5974,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Crawford,33666,17905,0.5318,21037,0.6249,3132,0.6220,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Crittenden,34272,19395,0.5659,22650,0.6609,3255,0.6462,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Cross,32659,5796,0.1775,7856,0.2405,2060,0.4091,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Dallas,33246,7004,0.2107,9293,0.2795,2289,0.4545,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Desha,5010,1223,0.2441,1824,0.3641,601,0.4832,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Drew,5451,1512,0.2774,2166,0.3974,654,0.5058,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Faulkner,5897,1833,0.3108,2540,0.4307,707,0.4803,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Franklin,6346,2186,0.3445,2947,0.4644,761,0.5163,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Fulton,6801,2571,0.3780,3387,0.4980,816,0.5218,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Garland,7259,2989,0.4118,3860,0.5318,871,0.5545,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Grant,7722,3441,0.4456,4367,0.5655,926,0.5819,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Greene,8190,3927,0.4795,4909,0.5994,982,0.6000,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_meeting_status
Hempstead,8662,4447,0.5134,5558,0.6417,1111,0.6200,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Hot Spring,9138,5002,0.5474,6252,0.6842,1250,0.6390,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Howard,9619,5595,0.5817,6993,0.7270,1398,0.6492,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Independence,9461,1823,0.1927,2958,0.3127,1135,0.4435,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Izard,9923,2242,0.2259,3432,0.3459,1190,0.4581,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Jackson,10389,2694,0.2593,3940,0.3792,1246,0.4781,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Jefferson,10860,3179,0.2927,4482,0.4127,1303,0.5003,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Johnson,11335,3698,0.3262,5058,0.4462,1360,0.5169,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Lafayette,11815,4252,0.3599,5669,0.4798,1417,0.5417,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Lawrence,12299,4840,0.3935,6315,0.5135,1475,0.5552,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Lee,12787,5464,0.4273,6998,0.5473,1534,0.5692,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Lincoln,13280,6124,0.4611,7717,0.5811,1593,0.5907,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Little River,13777,6821,0.4951,8526,0.6189,1705,0.6125,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Logan,14279,7555,0.5291,9443,0.6613,1888,0.6316,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Lonoke,14785,8326,0.5631,10407,0.7039,2081,0.6434,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Madison,14320,2503,0.1748,4221,0.2948,1718,0.4265,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Marion,14807,3079,0.2079,4855,0.3279,1776,0.4393,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Miller,15299,3691,0.2413,5526,0.3612,1835,0.4674,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Mississippi,15795,4338,0.2746,6233,0.3946,1895,0.4871,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Monroe,16295,5021,0.3081,6976,0.4281,1955,0.5065,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Montgomery,16800,5740,0.3417,7756,0.4617,2016,0.5372,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Nevada,17310,6497,0.3753,8574,0.4953,2077,0.5440,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_meeting_status
Newton,17823,7291,0.4091,9429,0.5290,2138,0.5641,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Ouachita,18341,8122,0.4428,10322,0.5628,2200,0.5668,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Perry,18864,8993,0.4767,11256,0.5967,2263,0.6022,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Phillips,19391,9903,0.5107,12378,0.6383,2475,0.6213,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Pike,19922,10852,0.5447,13564,0.6809,2712,0.6323,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Poinsett,20458,11842,0.5788,14802,0.7235,2960,0.6436,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Polk,19663,3736,0.1900,5850,0.2975,2114,0.4199,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Pope,20180,4506,0.2233,6722,0.3331,2216,0.4400,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Prairie,20701,5312,0.2566,7712,0.3725,2400,0.4765,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Pulaski,21227,6156,0.2900,8495,0.4002,2339,0.4645,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_meeting_status
Randolph,21757,7040,0.3236,9636,0.4429,2596,0.5154,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
St. Francis,22292,7961,0.3571,10636,0.4771,2675,0.5346,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Saline,22831,8922,0.3908,11557,0.5062,2635,0.5232,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Scott,23374,9924,0.4246,12728,0.5445,2804,0.5728,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Searcy,23922,10966,0.4584,13836,0.5784,2870,0.5839,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Sebastian,24474,12049,0.4923,15061,0.6154,3012,0.6026,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Sevier,25031,13174,0.5263,16347,0.6531,3173,0.6300,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Sharp,25592,14341,0.5604,17581,0.6870,3240,0.6434,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Stone,24489,4214,0.1721,6299,0.2572,2085,0.4140,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Union,25032,5138,0.2053,7382,0.2949,2244,0.4456,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Van Buren,25578,6102,0.2386,8365,0.3270,2263,0.4494,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Washington,26129,7106,0.2720,9439,0.3612,2333,0.4633,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
White,26685,8150,0.3054,10609,0.3976,2459,0.4883,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Woodruff,27245,9235,0.3390,11875,0.4359,2640,0.5242,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Yell,27809,10362,0.3726,13099,0.4710,2737,0.5434,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
