county,volunteerCommitmentTarget,currentCommitments,commitmentGap,countyVolunteerNeedPct,countyVolunteerNeedFormula,housePartyGoal,estimatedRelationalCoverage,phoneBankCapacityHours,postcardCapacityEstimate,textVolunteerCapacityHours,localGuideNeed,accessSupportNeedScore,confidence,missingData
Craighead,66,,66,1.316,0.35*targetGainShare(1.89%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),14,330,4,80,2,1,0.450,medium,registration_goal|current_commitments
Crawford,66,,66,1.311,0.35*targetGainShare(1.96%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),14,330,4,80,2,1,0.450,medium,registration_goal|current_commitments
Crittenden,71,,71,1.450,0.35*targetGainShare(2.04%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Cross,51,,51,1.028,0.35*targetGainShare(1.29%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.40) + 0.05*accessSupport(0.45),11,255,3,80,1,1,0.450,medium,registration_goal|current_commitments
Dallas,71,,71,1.423,0.35*targetGainShare(1.44%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Desha,69,,69,1.376,0.35*targetGainShare(0.38%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,345,4,80,2,1,0.450,medium,registration_goal|current_commitments
Drew,69,,69,1.378,0.35*targetGainShare(0.41%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,345,4,80,2,1,0.450,medium,registration_goal|current_commitments
Faulkner,50,,50,0.999,0.35*targetGainShare(0.44%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.40) + 0.05*accessSupport(0.45),10,250,3,80,1,1,0.450,medium,registration_goal|current_commitments
Franklin,62,,62,1.245,0.35*targetGainShare(0.48%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,310,4,80,2,1,0.450,medium,registration_goal|current_commitments
Fulton,50,,50,0.993,0.35*targetGainShare(0.51%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.40) + 0.05*accessSupport(0.45),10,250,3,80,1,1,0.450,medium,registration_goal|current_commitments
Garland,50,,50,0.876,0.35*targetGainShare(0.55%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.20) + 0.05*accessSupport(0.45),10,250,3,80,1,1,0.450,medium,registration_goal|current_commitments
Grant,69,,69,1.385,0.35*targetGainShare(0.58%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,345,4,80,2,1,0.450,medium,registration_goal|current_commitments
Greene,69,,69,1.387,0.35*targetGainShare(0.62%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,345,4,80,2,1,0.450,medium,registration_goal|current_commitments
Hempstead,70,,70,1.390,0.35*targetGainShare(0.70%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Hot Spring,70,,70,1.394,0.35*targetGainShare(0.78%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Howard,70,,70,1.398,0.35*targetGainShare(0.88%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Independence,70,,70,1.400,0.35*targetGainShare(0.71%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Izard,70,,70,1.392,0.35*targetGainShare(0.75%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Jackson,70,,70,1.394,0.35*targetGainShare(0.78%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Jefferson,70,,70,1.404,0.35*targetGainShare(0.82%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Johnson,70,,70,1.397,0.35*targetGainShare(0.85%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Lafayette,70,,70,1.399,0.35*targetGainShare(0.89%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Lawrence,70,,70,1.400,0.35*targetGainShare(0.92%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Lee,64,,64,1.275,0.35*targetGainShare(0.96%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,320,4,80,2,1,0.450,medium,registration_goal|current_commitments
Lincoln,70,,70,1.404,0.35*targetGainShare(1.00%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Little River,70,,70,1.407,0.35*targetGainShare(1.07%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Logan,71,,71,1.412,0.35*targetGainShare(1.18%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Lonoke,71,,71,1.417,0.35*targetGainShare(1.30%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Madison,70,,70,1.407,0.35*targetGainShare(1.08%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Marion,64,,64,1.282,0.35*targetGainShare(1.11%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,320,4,80,2,1,0.450,medium,registration_goal|current_commitments
Miller,71,,71,1.410,0.35*targetGainShare(1.15%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Mississippi,71,,71,1.412,0.35*targetGainShare(1.19%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Monroe,71,,71,1.414,0.35*targetGainShare(1.23%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Montgomery,71,,71,1.415,0.35*targetGainShare(1.26%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Nevada,71,,71,1.417,0.35*targetGainShare(1.30%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Newton,71,,71,1.419,0.35*targetGainShare(1.34%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Ouachita,58,,58,1.158,0.35*targetGainShare(1.38%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,290,3,80,1,1,0.450,medium,registration_goal|current_commitments
Perry,71,,71,1.422,0.35*targetGainShare(1.42%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Phillips,71,,71,1.428,0.35*targetGainShare(1.55%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Pike,65,,65,1.308,0.35*targetGainShare(1.70%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,325,4,80,2,1,0.450,medium,registration_goal|current_commitments
Poinsett,71,,71,1.442,0.35*targetGainShare(1.86%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Polk,58,,58,1.156,0.35*targetGainShare(1.33%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,290,3,80,1,1,0.450,medium,registration_goal|current_commitments
Pope,58,,58,1.167,0.35*targetGainShare(1.39%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,290,3,80,1,1,0.450,medium,registration_goal|current_commitments
Prairie,71,,71,1.426,0.35*targetGainShare(1.50%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Pulaski,50,,50,0.799,0.35*targetGainShare(1.47%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.00) + 0.05*accessSupport(0.45),10,250,3,80,1,1,0.450,medium,registration_goal|current_commitments
Randolph,71,,71,1.432,0.35*targetGainShare(1.63%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
St. Francis,71,,71,1.434,0.35*targetGainShare(1.68%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Saline,39,,39,0.790,0.35*targetGainShare(1.65%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.00) + 0.05*accessSupport(0.45),8,195,2,40,1,1,0.450,medium,registration_goal|current_commitments
Scott,71,,71,1.437,0.35*targetGainShare(1.76%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Searcy,66,,66,1.312,0.35*targetGainShare(1.80%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),14,330,4,80,2,1,0.450,medium,registration_goal|current_commitments
Sebastian,66,,66,1.316,0.35*targetGainShare(1.89%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),14,330,4,80,2,1,0.450,medium,registration_goal|current_commitments
Sevier,71,,71,1.448,0.35*targetGainShare(1.99%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Sharp,71,,71,1.450,0.35*targetGainShare(2.03%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Stone,58,,58,1.155,0.35*targetGainShare(1.31%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,290,3,80,1,1,0.450,medium,registration_goal|current_commitments
Union,71,,71,1.422,0.35*targetGainShare(1.41%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Van Buren,58,,58,1.160,0.35*targetGainShare(1.42%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,290,3,80,1,1,0.450,medium,registration_goal|current_commitments
Washington,65,,65,1.306,0.35*targetGainShare(1.46%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,325,4,80,2,1,0.450,medium,registration_goal|current_commitments
White,59,,59,1.174,0.35*targetGainShare(1.54%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,295,3,80,1,1,0.450,medium,registration_goal|current_commitments
Woodruff,71,,71,1.433,0.35*targetGainShare(1.66%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Yell,71,,71,1.436,0.35*targetGainShare(1.72%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
