county,eventStaffingNeed,localGuideNeed,housePartyHostNeed,followUpVolunteerNeed,voterRegistrationEducationNeed,phoneBankCapacityNeedHours,postcardCapacityNeedEstimate,hispanicCommunityAccessNeed,campusYouthAccessNeed,seniorCommunityAccessNeed,countyVolunteerNeedPct,countyVolunteerNeedFormula,confidence,missingData
Columbia,6,1,4,5,2,13,258,monitor,monitor,monitor,51.59,0.25*targetGain(0.664) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Conway,4,1,4,4,2,13,251,monitor,none_known,monitor,50.12,0.25*targetGain(0.685) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Craighead,4,1,3,4,1,11,216,monitor,monitor,monitor,43.22,0.25*targetGain(0.669) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Crawford,2,1,3,4,1,10,210,monitor,none_known,monitor,41.90,0.25*targetGain(0.696) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.800) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Crittenden,4,1,3,4,1,12,238,monitor,none_known,monitor,47.58,0.25*targetGain(0.723) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Cross,2,1,2,3,1,8,155,monitor,none_known,monitor,30.94,0.25*targetGain(0.458) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.400) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Dallas,4,1,3,4,1,11,211,monitor,none_known,monitor,42.22,0.25*targetGain(0.509) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Desha,4,1,3,4,1,9,182,monitor,none_known,monitor,36.34,0.25*targetGain(0.134) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Drew,4,1,3,4,1,9,183,monitor,none_known,monitor,36.63,0.25*targetGain(0.145) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Faulkner,4,1,2,4,1,5,110,monitor,monitor,monitor,21.93,0.25*targetGain(0.157) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.400) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Franklin,2,1,2,3,1,7,144,monitor,none_known,monitor,28.73,0.25*targetGain(0.169) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.800) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Fulton,2,1,2,3,1,6,120,monitor,none_known,monitor,24.03,0.25*targetGain(0.181) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.400) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Garland,4,1,2,4,1,5,99,monitor,monitor,monitor,19.84,0.25*targetGain(0.194) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.200) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Grant,4,1,3,4,1,9,173,monitor,none_known,monitor,34.64,0.25*targetGain(0.206) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Greene,4,1,3,4,1,9,175,monitor,none_known,monitor,34.96,0.25*targetGain(0.218) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Hempstead,4,1,3,4,1,9,178,monitor,none_known,monitor,35.67,0.25*targetGain(0.247) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Hot Spring,4,1,3,4,1,9,182,monitor,none_known,monitor,36.44,0.25*targetGain(0.278) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Howard,4,1,3,4,1,9,186,monitor,none_known,monitor,37.27,0.25*targetGain(0.311) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Independence,6,1,3,4,1,9,189,monitor,monitor,monitor,37.81,0.25*targetGain(0.252) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Izard,4,1,3,4,1,9,181,monitor,none_known,monitor,36.11,0.25*targetGain(0.264) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Jackson,4,1,3,4,1,9,182,monitor,none_known,monitor,36.42,0.25*targetGain(0.277) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Jefferson,6,1,3,5,1,10,194,monitor,monitor,monitor,38.74,0.25*targetGain(0.290) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Johnson,4,1,3,4,1,9,185,monitor,none_known,monitor,37.06,0.25*targetGain(0.302) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Lafayette,4,1,3,4,1,9,187,monitor,none_known,monitor,37.37,0.25*targetGain(0.315) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Lawrence,4,1,3,4,1,9,188,monitor,none_known,monitor,37.69,0.25*targetGain(0.328) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Lee,4,1,3,4,1,10,193,monitor,none_known,monitor,38.52,0.25*targetGain(0.341) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Lincoln,4,1,3,4,1,10,192,monitor,none_known,monitor,38.35,0.25*targetGain(0.354) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Little River,4,1,3,4,1,10,195,monitor,none_known,monitor,38.97,0.25*targetGain(0.379) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Logan,4,1,3,4,1,10,200,monitor,none_known,monitor,39.99,0.25*targetGain(0.420) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Lonoke,4,1,3,4,1,10,205,monitor,none_known,monitor,41.06,0.25*targetGain(0.462) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Madison,4,1,3,4,1,10,195,monitor,none_known,monitor,39.04,0.25*targetGain(0.382) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Marion,4,1,3,4,1,10,199,monitor,none_known,monitor,39.87,0.25*targetGain(0.395) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Miller,4,1,3,4,1,10,198,monitor,none_known,monitor,39.69,0.25*targetGain(0.408) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Mississippi,4,1,3,4,1,10,200,monitor,none_known,monitor,40.03,0.25*targetGain(0.421) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Monroe,4,1,3,4,1,10,202,monitor,none_known,monitor,40.36,0.25*targetGain(0.434) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Montgomery,4,1,3,4,1,11,221,monitor,none_known,monitor,44.20,0.25*targetGain(0.448) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Nevada,4,1,3,4,1,10,205,monitor,none_known,monitor,41.04,0.25*targetGain(0.462) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Newton,4,1,3,4,1,10,207,monitor,none_known,monitor,41.38,0.25*targetGain(0.475) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Ouachita,2,1,3,4,1,9,174,monitor,none_known,monitor,34.72,0.25*targetGain(0.489) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Perry,4,1,3,4,1,11,210,monitor,none_known,monitor,42.07,0.25*targetGain(0.503) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Phillips,4,1,3,4,1,11,216,monitor,none_known,monitor,43.25,0.25*targetGain(0.550) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Pike,4,1,3,4,1,11,225,monitor,none_known,monitor,45.07,0.25*targetGain(0.603) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Poinsett,4,1,3,4,1,11,230,monitor,none_known,monitor,45.94,0.25*targetGain(0.658) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Polk,2,1,3,4,1,9,171,monitor,none_known,monitor,34.24,0.25*targetGain(0.470) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Pope,4,1,2,4,1,8,167,monitor,monitor,monitor,33.31,0.25*targetGain(0.492) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.600) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Prairie,4,1,3,4,1,11,214,monitor,none_known,monitor,42.83,0.25*targetGain(0.533) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Pulaski,6,1,2,4,1,7,135,monitor,monitor,monitor,26.99,0.25*targetGain(0.520) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(0.000) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Randolph,4,1,3,4,1,11,220,monitor,none_known,monitor,43.92,0.25*targetGain(0.577) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
St. Francis,4,1,3,4,1,11,222,monitor,none_known,monitor,44.36,0.25*targetGain(0.594) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Saline,2,1,2,4,1,6,123,monitor,none_known,monitor,24.64,0.25*targetGain(0.586) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.000) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Scott,4,1,3,4,1,11,225,monitor,none_known,monitor,45.08,0.25*targetGain(0.623) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Searcy,4,1,3,4,1,11,230,monitor,none_known,monitor,45.94,0.25*targetGain(0.638) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Sebastian,4,1,3,5,1,11,216,monitor,monitor,monitor,43.23,0.25*targetGain(0.669) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Sevier,4,1,3,4,1,12,236,monitor,none_known,monitor,47.13,0.25*targetGain(0.705) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Sharp,4,1,3,4,1,12,238,monitor,none_known,monitor,47.50,0.25*targetGain(0.720) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Stone,2,1,3,4,1,9,170,monitor,none_known,monitor,34.08,0.25*targetGain(0.463) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Union,4,1,3,4,1,10,210,monitor,none_known,monitor,41.97,0.25*targetGain(0.499) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Van Buren,2,1,3,4,1,9,175,monitor,none_known,monitor,35.07,0.25*targetGain(0.503) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.700) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Washington,6,1,3,5,1,10,207,monitor,monitor,monitor,41.46,0.25*targetGain(0.518) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(0.800) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
White,4,1,3,4,1,9,173,monitor,monitor,monitor,34.66,0.25*targetGain(0.546) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.600) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Woodruff,4,1,3,4,1,11,221,monitor,none_known,monitor,44.17,0.25*targetGain(0.587) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Yell,4,1,3,4,1,11,224,monitor,none_known,monitor,44.71,0.25*targetGain(0.608) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
