id,county,fairName,startDate,endDate,isoWeekKey,verificationStatus,confidence,campaignValue,recommendedCoverage,routeCluster,kellyCalendarConflictIds,sourceUrl,notes
fair-714c3beab11ce211e4cd25c9,Arkansas,Arkansas County Fair,,,,date_not_posted,0.25,monitor,staff_only,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-08ce74fb1d33b44953f4f713,Izard,Izard County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-3ec4d6c750c06dc6aaf5bfd1,Jackson,Jackson County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-094bf1dec2e49e381bf96da9,Jefferson,Jefferson County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-4a9c883f2aae8c4db18fb12f,Johnson,Johnson County Fair,,,,date_not_posted,0.25,high_value,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-9e03993e30d8f62d3e8067dc,Lafayette,Lafayette County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-ef8a3bf07796f5d116269e4e,Lawrence,Lawrence County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-87846d6b2abf7d3bb06e553c,Lee,Lee County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-ad52713c50777eb46aeb718c,Lincoln,Lincoln County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-7b9fd5feee3eb99deeb9317a,Little River,Little River County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-52630ebefeb7010726bfc0e0,Logan,Logan County Fair,,,,date_not_posted,0.25,high_value,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-343e8ec6713e5d2662424ade,Lonoke,Lonoke County Fair,,,,date_not_posted,0.25,high_value,kelly,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-d4493ea4a9d68141464ac3d7,Madison,Madison County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-157a4f749d58caa668e88451,Marion,Marion County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-024aadc9b8b03fd64d394c70,Miller,Miller County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-62d3467a7d811a60b1f680f8,Mississippi,Mississippi County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-2aeedb2c0d0ba35568ddc568,Monroe,Monroe County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-847cff2a75ce938df6049561,Montgomery,Montgomery County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-67cc3c414b72663f68984577,Nevada,Nevada County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-dd3cef345b5f6d95088be298,Newton,Newton County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-81187b27a1f11d856e6e6847,Ouachita,Ouachita County Fair,,,,date_not_posted,0.25,monitor,staff_only,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-6dbd3d02b9d26cf4bff95bd6,Perry,Perry County Fair,,,,date_not_posted,0.25,high_value,kelly,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-4fac428da500036c9c22239c,Phillips,Phillips County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-fc9b80fc6ddcf7dd5cddf15a,Pike,Pike County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-7829a2feea90c79f73500f43,Poinsett,Poinsett County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-cf55c4eacbc50e73007d2342,Polk,Polk County Fair,,,,date_not_posted,0.25,monitor,staff_only,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-7488da8016f2918085330536,Pope,Pope County Fair,,,,date_not_posted,0.25,monitor,staff_only,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-ac7165c13f80cee5ec6313a4,Prairie,Prairie County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-d9fd39d452ee3912d6ef9617,Pulaski,Pulaski County Fair,,,,date_not_posted,0.25,send_local,local_surrogate,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-571afd59db5f2040264c4ac1,Randolph,Randolph County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-4a9e52a60ebbd77e4aa07fa3,Saline,Saline County Fair,,,,date_not_posted,0.25,send_local,local_surrogate,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-88cd5f5575b0825cadb0ebab,Scott,Scott County Fair,,,,date_not_posted,0.25,high_value,kelly,North Central / Mountain Home-Batesville-Heber Springs,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-f9e2777b4905a0a00683104a,Searcy,Searcy County Fair,,,,date_not_posted,0.25,high_value,kelly,North Central / Mountain Home-Batesville-Heber Springs,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-187ddcd6dc0bb8d5b61c0f88,Sebastian,Sebastian County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-4ca61962861cf7bf98c0d810,Sevier,Sevier County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-590907ddf0cf13ac650ebfa4,Sharp,Sharp County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-be76ae5b2b578417d6ae68ad,St. Francis,St. Francis County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-09efd237221bdecce36af3cf,Stone,Stone County Fair,,,,date_not_posted,0.25,monitor,staff_only,North Central / Mountain Home-Batesville-Heber Springs,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-8e31ab602a94385aa9919463,Union,Union County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-997116546e5e84bbfc95d743,Van Buren,Van Buren County Fair,,,,date_not_posted,0.25,monitor,staff_only,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-fd9c3decb7992141a70c1a06,Washington,Washington County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-c6d957f78268e5a414b4d80f,White,White County Fair,,,,date_not_posted,0.25,monitor,staff_only,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-a89a42cb1809ef69ab855cd4,Woodruff,Woodruff County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-7d4b1643af8887c9137f0856,Yell,Yell County Fair,,,,date_not_posted,0.25,high_value,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
